"Reporting year","Provider country/institution - code","Provider country/institution - name","Provider agency","Provider project number","TOSSD ID Number","TOSSD recipient - code","TOSSD recipient - name",Region,"Project title",Description,"External link","SDG focus","SDG goal level explanation",Keywords,"Sector category - code","Sector category - name","Purpose code","Purpose name",ISICcode,"ISIC name","ISIC lvl","ISIC description letter lvl","Channel category - code","Channel category - name","Other Partners","Channel - code","Channel - name",Channel,"Modality - code","Modality - name","Financial instrument - code","Financial instrument - name","Financing arrangement - code","Financing arrangement - name","Framework of collaboration - code","Framework of collaboration - name","TOSSD pillar","TOSSD sub-pillar","Amount committed (USD thousand)","Deflated Amount committed (USD thousand)","Amount disbursed (USD thousand)","Deflated amount disbursed (USD thousand)","Reflows to the provider (USD thousand)","Deflated reflows to the provider (USD thousand)","Amount mobilised  (USD thousand)","Deflated amount mobilised  (USD thousand)","Salary cost (PPPs)",Concessionality,"Maturity (in months)","Leveraging mechanism","Origin of the funds mobilised","Source name"
2023,811,"Global Environment Facility","GEF (general)",PRJ_623646,2023001456,434,Chile,"South America","Mainstreaming conservation and valuation of critically endangered species and ecosystems in development-frontier production landscapes in the regions of Arica y Parinacota and Biobío (FSP)","Mainstreaming conservation and valuation of critically endangered species and ecosystems in development-frontier production landscapes in the regions of Arica y Parinacota and Biobío (FSP)",,15;12,"GEF is unable to report at target level at this stage but work through the GEF contributes to the achievement of the SDGs and responds to decisions related to SDGs.",,410,"General Environment Protection",41030,Biodiversity,8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",O,"Public administration and defence; compulsory social security",12000,,,12000,"Recipient Government","Recipient Government",D02,"Other technical co-operation",110,"Standard grant",,,,,1,1,0,0,7.27924,7.27924,0,0,0,0,0,,,,,TOSSD
2023,811,"Global Environment Facility","GEF (general)",PRJ_690563,2023001446,434,Chile,"South America","Restauración de la biodiversidad y sus servicios ecosistémicos a escala de paisaje en espacios silvo (PPG)","Restauración de la biodiversidad y sus servicios ecosistémicos a escala de paisaje en espacios silvo (PPG)",,2;15;12,"GEF is unable to report at target level at this stage but work through the GEF contributes to the achievement of the SDGs and responds to decisions related to SDGs.",,410,"General Environment Protection",41030,Biodiversity,8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",O,"Public administration and defence; compulsory social security",12000,,,12000,"Recipient Government","Recipient Government",D02,"Other technical co-operation",110,"Standard grant",,,,,1,1,0,0,0.22712,0.22712,0,0,0,0,0,,,,,TOSSD
2023,811,"Global Environment Facility","GEF (general)",PRJ_683061,2023001408,434,Chile,"South America","Restoration of Biodiversity and Ecosystem Services at the Landscape Scale on Productive Agroforestry Areas and their Natural Environment (FSP)","Restoration of Biodiversity and Ecosystem Services at the Landscape Scale on Productive Agroforestry Areas and their Natural Environment (FSP)",,2;15;12,"GEF is unable to report at target level at this stage but work through the GEF contributes to the achievement of the SDGs and responds to decisions related to SDGs.",,410,"General Environment Protection",41030,Biodiversity,8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",O,"Public administration and defence; compulsory social security",12000,,,12000,"Recipient Government","Recipient Government",D02,"Other technical co-operation",110,"Standard grant",,,,,1,1,0,0,298.49473,298.49473,0,0,0,0,0,,,,,TOSSD
2023,940,"International Labour Organisation","Regular Budget Technical Cooperation - regional and global (non-developmental part)","63210-CHL155-Output 3.3.",2023001313,434,Chile,"South America","Estrategias y políticas adoptadas por el gobierno para fomentar el empleo productivo, la inclusión laboral y la formalización, con sistemas estadísticos fortalecidos.","Estrategias y políticas adoptadas por el gobierno para fomentar el empleo productivo, la inclusión laboral y la formalización, con sistemas estadísticos fortalecidos.",https://www.ilo.org/about-ilo/how-ilo-works/ilo-organizational-structure,8.8;8.6;8.3,,,410,"General Environment Protection",41010,"Environmental policy and administrative management",8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",O,"Public administration and defence; compulsory social security",41300,,,41302,"International Labour Organisation - Assessed Contributions","ILO, International Labour Organisation",D02,"Other technical co-operation",110,"Standard grant",,,,,1,1,0.327303,0.327303,0.327303,0.327303,0,0,0,0,0,,,,,TOSSD
2023,811,"Global Environment Facility","GEF (general)",PRJ_639984,2023001231,434,Chile,"South America","Strengthening and development of instruments for the management prevention and control of beaver (Castor canadensis) an invasive alien species in the Chilean Patagonia","Strengthening and development of instruments for the management prevention and control of beaver (Castor canadensis) an invasive alien species in the Chilean Patagonia",,15;12,"GEF is unable to report at target level at this stage but work through the GEF contributes to the achievement of the SDGs and responds to decisions related to SDGs.",,410,"General Environment Protection",41030,Biodiversity,8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",O,"Public administration and defence; compulsory social security",12000,,,12000,"Recipient Government","Recipient Government",D02,"Other technical co-operation",110,"Standard grant",,,,,1,1,0,0,4.13127,4.13127,0,0,0,0,0,,,,,TOSSD
2023,811,"Global Environment Facility","GEF (general)",PRJ_722702,2023001205,434,Chile,"South America","First Biennial Transparency Report (IBTR) and Fifth National Communication","First Biennial Transparency Report (IBTR) and Fifth National Communication",,13,"GEF is unable to report at target level at this stage but work through the GEF contributes to the achievement of the SDGs and responds to decisions related to SDGs.",,410,"General Environment Protection",41010,"Environmental policy and administrative management",8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",O,"Public administration and defence; compulsory social security",12000,,,12000,"Recipient Government","Recipient Government",D02,"Other technical co-operation",110,"Standard grant",,,,,1,1,0,0,27.20844,27.20844,0,0,0,0,0,,,,,TOSSD
2023,807,UNEP,"Convention on Biological Diversity (CBD) - Voluntary Contributions Non-core - developmental","UNEP-SCBD-Voluntary Non-core",2023001057,434,Chile,"South America","SCBD POW Voluntary Contributions","General Trust Fund for Additional Voluntary Contributions in Support of Approved Activities under the Convention on Biological Diversity.",,9;8;7;6;5;4;3;2;10;1,,,410,"General Environment Protection",41030,Biodiversity,8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",O,"Public administration and defence; compulsory social security",41100,,,41116,"United Nations Environment Programme","United Nations Environment Programme (UNEP)",D02,"Other technical co-operation",2100,"Direct provider spending",,,,,1,1,5.54,5.54,5.54,5.54,0,0,0,0,0,,,,,TOSSD
2023,807,UNEP,"Other Support to UNEP POW","UNEP - VC-POW",2023000496,434,Chile,"South America","UNEP POW Voluntary Contributions","Trust Fund to Support the Activities of the Climate and Clean Air Coalition to Reduce Short Lived Climate Pollutants.",,9;8;7;6;5;4;3;2;10;1,,,410,"General Environment Protection",41030,Biodiversity,8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",O,"Public administration and defence; compulsory social security",41100,,,41116,"United Nations Environment Programme","United Nations Environment Programme (UNEP)",D02,"Other technical co-operation",2100,"Direct provider spending",,,,,1,1,1.93718497,1.93718497,1.93718497,1.93718497,0,0,0,0,0,,,,,TOSSD
2023,807,UNEP,"Other Support to UNEP POW","UNEP - VC-POW",2023000496,434,Chile,"South America","UNEP POW Voluntary Contributions","Trust Fund to Support the Activities of the Climate and Clean Air Coalition to Reduce Short Lived Climate Pollutants.",,9;8;7;6;5;4;3;2;10;1,,,410,"General Environment Protection",41010,"Environmental policy and administrative management",8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",O,"Public administration and defence; compulsory social security",41100,,,41116,"United Nations Environment Programme","United Nations Environment Programme (UNEP)",D02,"Other technical co-operation",2100,"Direct provider spending",,,,,1,1,1.92558506,1.92558506,1.92558506,1.92558506,0,0,0,0,0,,,,,TOSSD
2023,807,UNEP,"Other Support to UNEP POW","UNEP - VC-POW",2023000496,434,Chile,"South America","UNEP POW Voluntary Contributions","Trust Fund to Support the Activities of the Climate and Clean Air Coalition to Reduce Short Lived Climate Pollutants.",,9;8;7;6;5;4;3;2;10;1,,,410,"General Environment Protection",41040,"Site preservation",8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",O,"Public administration and defence; compulsory social security",41100,,,41116,"United Nations Environment Programme","United Nations Environment Programme (UNEP)",D02,"Other technical co-operation",2100,"Direct provider spending",,,,,1,1,1.93718497,1.93718497,1.93718497,1.93718497,0,0,0,0,0,,,,,TOSSD
2023,807,UNEP,"Other Support to UNEP POW","UNEP - VC-POW",2023000496,434,Chile,"South America","UNEP POW Voluntary Contributions","Trust Fund to Support the Activities of the Climate and Clean Air Coalition to Reduce Short Lived Climate Pollutants.",,9;8;7;6;5;4;3;2;10;1,,,410,"General Environment Protection",41020,"Biosphere protection",8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",O,"Public administration and defence; compulsory social security",41100,,,41116,"United Nations Environment Programme","United Nations Environment Programme (UNEP)",D02,"Other technical co-operation",2100,"Direct provider spending",,,,,1,1,1.92558506,1.92558506,1.92558506,1.92558506,0,0,0,0,0,,,,,TOSSD
2023,807,UNEP,"Other Support to UNEP POW","UNEP - VC-POW",2023000496,434,Chile,"South America","UNEP POW Voluntary Contributions","Trust Fund to Support the Activities of the Climate and Clean Air Coalition to Reduce Short Lived Climate Pollutants.",,9;8;7;6;5;4;3;2;10;1,,,410,"General Environment Protection",41082,"Environmental research",7210,"Research and experimental development on natural sciences and engineering",M,"Professional, scientific and technical activities",41100,,,41116,"United Nations Environment Programme","United Nations Environment Programme (UNEP)",D02,"Other technical co-operation",2100,"Direct provider spending",,,,,1,1,1.93718497,1.93718497,1.93718497,1.93718497,0,0,0,0,0,,,,,TOSSD
2023,807,UNEP,"Other Support to UNEP POW","UNEP - VC-POW",2023000496,434,Chile,"South America","UNEP POW Voluntary Contributions","Trust Fund to Support the Activities of the Climate and Clean Air Coalition to Reduce Short Lived Climate Pollutants.",,9;8;7;6;5;4;3;2;10;1,,,410,"General Environment Protection",41081,"Environmental education/training",8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",O,"Public administration and defence; compulsory social security",41100,,,41116,"United Nations Environment Programme","United Nations Environment Programme (UNEP)",D02,"Other technical co-operation",2100,"Direct provider spending",,,,,1,1,1.93718497,1.93718497,1.93718497,1.93718497,0,0,0,0,0,,,,,TOSSD
2023,807,UNEP,"Other Support to UNEP POW","UNEP - VC-POW",2023000495,434,Chile,"South America","UNEP POW Voluntary Contributions","Trust Fund to Support the Activities of the Climate Technology Centre And Network.",,9;8;7;6;5;4;3;2;10;1,,,410,"General Environment Protection",41020,"Biosphere protection",8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",O,"Public administration and defence; compulsory social security",41100,,,41116,"United Nations Environment Programme","United Nations Environment Programme (UNEP)",D02,"Other technical co-operation",2100,"Direct provider spending",,,,,1,1,39.87777994,39.87777994,39.87777994,39.87777994,0,0,0,0,0,,,,,TOSSD
2023,807,UNEP,"Other Support to UNEP POW","UNEP - VC-POW",2023000495,434,Chile,"South America","UNEP POW Voluntary Contributions","Trust Fund to Support the Activities of the Climate Technology Centre And Network.",,9;8;7;6;5;4;3;2;10;1,,,410,"General Environment Protection",41010,"Environmental policy and administrative management",8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",O,"Public administration and defence; compulsory social security",41100,,,41116,"United Nations Environment Programme","United Nations Environment Programme (UNEP)",D02,"Other technical co-operation",2100,"Direct provider spending",,,,,1,1,39.87777994,39.87777994,39.87777994,39.87777994,0,0,0,0,0,,,,,TOSSD
2023,807,UNEP,"Other Support to UNEP POW","UNEP - VC-POW",2023000495,434,Chile,"South America","UNEP POW Voluntary Contributions","Trust Fund to Support the Activities of the Climate Technology Centre And Network.",,9;8;7;6;5;4;3;2;10;1,,,410,"General Environment Protection",41081,"Environmental education/training",8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",O,"Public administration and defence; compulsory social security",41100,,,41116,"United Nations Environment Programme","United Nations Environment Programme (UNEP)",D02,"Other technical co-operation",2100,"Direct provider spending",,,,,1,1,40.11800753,40.11800753,40.11800753,40.11800753,0,0,0,0,0,,,,,TOSSD
2023,807,UNEP,"Other Support to UNEP POW","UNEP - VC-POW",2023000495,434,Chile,"South America","UNEP POW Voluntary Contributions","Trust Fund to Support the Activities of the Climate Technology Centre And Network.",,9;8;7;6;5;4;3;2;10;1,,,410,"General Environment Protection",41030,Biodiversity,8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",O,"Public administration and defence; compulsory social security",41100,,,41116,"United Nations Environment Programme","United Nations Environment Programme (UNEP)",D02,"Other technical co-operation",2100,"Direct provider spending",,,,,1,1,40.11800753,40.11800753,40.11800753,40.11800753,0,0,0,0,0,,,,,TOSSD
2023,807,UNEP,"Other Support to UNEP POW","UNEP - VC-POW",2023000495,434,Chile,"South America","UNEP POW Voluntary Contributions","Trust Fund to Support the Activities of the Climate Technology Centre And Network.",,9;8;7;6;5;4;3;2;10;1,,,410,"General Environment Protection",41082,"Environmental research",7210,"Research and experimental development on natural sciences and engineering",M,"Professional, scientific and technical activities",41100,,,41116,"United Nations Environment Programme","United Nations Environment Programme (UNEP)",D02,"Other technical co-operation",2100,"Direct provider spending",,,,,1,1,40.11800753,40.11800753,40.11800753,40.11800753,0,0,0,0,0,,,,,TOSSD
2023,807,UNEP,"Other Support to UNEP POW","UNEP - VC-POW",2023000495,434,Chile,"South America","UNEP POW Voluntary Contributions","Trust Fund to Support the Activities of the Climate Technology Centre And Network.",,9;8;7;6;5;4;3;2;10;1,,,410,"General Environment Protection",41040,"Site preservation",8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",O,"Public administration and defence; compulsory social security",41100,,,41116,"United Nations Environment Programme","United Nations Environment Programme (UNEP)",D02,"Other technical co-operation",2100,"Direct provider spending",,,,,1,1,40.11800753,40.11800753,40.11800753,40.11800753,0,0,0,0,0,,,,,TOSSD
2023,807,UNEP,"Other Support to UNEP POW","UNEP - VC-POW",2023000494,434,Chile,"South America","UNEP POW Voluntary Contributions","Technical Cooperation Trust Fund to Support Achievement of Contribution Agreement N° 21.0401/2011/608174/SUB/E2 – Strategic Cooperation Agreement between the European Commission – Directorate General of the Environment and – and the United Nations Environment Programme (covering ENRTP Priority 3.1 – Strengthening Environment Governance)",,9;8;7;6;5;4;3;2;10;1,,,410,"General Environment Protection",41082,"Environmental research",7210,"Research and experimental development on natural sciences and engineering",M,"Professional, scientific and technical activities",41100,,,41116,"United Nations Environment Programme","United Nations Environment Programme (UNEP)",D02,"Other technical co-operation",2100,"Direct provider spending",,,,,1,1,0.37341534,0.37341534,0.37341534,0.37341534,0,0,0,0,0,,,,,TOSSD
2023,807,UNEP,"Other Support to UNEP POW","UNEP - VC-POW",2023000494,434,Chile,"South America","UNEP POW Voluntary Contributions","Technical Cooperation Trust Fund to Support Achievement of Contribution Agreement N° 21.0401/2011/608174/SUB/E2 – Strategic Cooperation Agreement between the European Commission – Directorate General of the Environment and – and the United Nations Environment Programme (covering ENRTP Priority 3.1 – Strengthening Environment Governance)",,9;8;7;6;5;4;3;2;10;1,,,410,"General Environment Protection",41010,"Environmental policy and administrative management",8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",O,"Public administration and defence; compulsory social security",41100,,,41116,"United Nations Environment Programme","United Nations Environment Programme (UNEP)",D02,"Other technical co-operation",2100,"Direct provider spending",,,,,1,1,0.37117932,0.37117932,0.37117932,0.37117932,0,0,0,0,0,,,,,TOSSD
2023,807,UNEP,"Other Support to UNEP POW","UNEP - VC-POW",2023000494,434,Chile,"South America","UNEP POW Voluntary Contributions","Technical Cooperation Trust Fund to Support Achievement of Contribution Agreement N° 21.0401/2011/608174/SUB/E2 – Strategic Cooperation Agreement between the European Commission – Directorate General of the Environment and – and the United Nations Environment Programme (covering ENRTP Priority 3.1 – Strengthening Environment Governance)",,9;8;7;6;5;4;3;2;10;1,,,410,"General Environment Protection",41020,"Biosphere protection",8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",O,"Public administration and defence; compulsory social security",41100,,,41116,"United Nations Environment Programme","United Nations Environment Programme (UNEP)",D02,"Other technical co-operation",2100,"Direct provider spending",,,,,1,1,0.37117932,0.37117932,0.37117932,0.37117932,0,0,0,0,0,,,,,TOSSD
2023,807,UNEP,"Other Support to UNEP POW","UNEP - VC-POW",2023000494,434,Chile,"South America","UNEP POW Voluntary Contributions","Technical Cooperation Trust Fund to Support Achievement of Contribution Agreement N° 21.0401/2011/608174/SUB/E2 – Strategic Cooperation Agreement between the European Commission – Directorate General of the Environment and – and the United Nations Environment Programme (covering ENRTP Priority 3.1 – Strengthening Environment Governance)",,9;8;7;6;5;4;3;2;10;1,,,410,"General Environment Protection",41030,Biodiversity,8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",O,"Public administration and defence; compulsory social security",41100,,,41116,"United Nations Environment Programme","United Nations Environment Programme (UNEP)",D02,"Other technical co-operation",2100,"Direct provider spending",,,,,1,1,0.37341534,0.37341534,0.37341534,0.37341534,0,0,0,0,0,,,,,TOSSD
2023,807,UNEP,"Other Support to UNEP POW","UNEP - VC-POW",2023000494,434,Chile,"South America","UNEP POW Voluntary Contributions","Technical Cooperation Trust Fund to Support Achievement of Contribution Agreement N° 21.0401/2011/608174/SUB/E2 – Strategic Cooperation Agreement between the European Commission – Directorate General of the Environment and – and the United Nations Environment Programme (covering ENRTP Priority 3.1 – Strengthening Environment Governance)",,9;8;7;6;5;4;3;2;10;1,,,410,"General Environment Protection",41081,"Environmental education/training",8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",O,"Public administration and defence; compulsory social security",41100,,,41116,"United Nations Environment Programme","United Nations Environment Programme (UNEP)",D02,"Other technical co-operation",2100,"Direct provider spending",,,,,1,1,0.37341534,0.37341534,0.37341534,0.37341534,0,0,0,0,0,,,,,TOSSD
2023,807,UNEP,"Other Support to UNEP POW","UNEP - VC-POW",2023000494,434,Chile,"South America","UNEP POW Voluntary Contributions","Technical Cooperation Trust Fund to Support Achievement of Contribution Agreement N° 21.0401/2011/608174/SUB/E2 – Strategic Cooperation Agreement between the European Commission – Directorate General of the Environment and – and the United Nations Environment Programme (covering ENRTP Priority 3.1 – Strengthening Environment Governance)",,9;8;7;6;5;4;3;2;10;1,,,410,"General Environment Protection",41040,"Site preservation",8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",O,"Public administration and defence; compulsory social security",41100,,,41116,"United Nations Environment Programme","United Nations Environment Programme (UNEP)",D02,"Other technical co-operation",2100,"Direct provider spending",,,,,1,1,0.37341534,0.37341534,0.37341534,0.37341534,0,0,0,0,0,,,,,TOSSD
2023,807,UNEP,"Other Support to UNEP POW","UNEP - VC-POW",2023000493,434,Chile,"South America","UNEP POW Voluntary Contributions","Technical Cooperation Trust Fund for UNEP's Implementation of the Multilateral Fund Activities.",,9;8;7;6;5;4;3;2;10;1,,,410,"General Environment Protection",41020,"Biosphere protection",8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",O,"Public administration and defence; compulsory social security",41100,,,41116,"United Nations Environment Programme","United Nations Environment Programme (UNEP)",D02,"Other technical co-operation",2100,"Direct provider spending",,,,,1,1,11.36081258,11.36081258,11.36081258,11.36081258,0,0,0,0,0,,,,,TOSSD
2023,807,UNEP,"Other Support to UNEP POW","UNEP - VC-POW",2023000493,434,Chile,"South America","UNEP POW Voluntary Contributions","Technical Cooperation Trust Fund for UNEP's Implementation of the Multilateral Fund Activities.",,9;8;7;6;5;4;3;2;10;1,,,410,"General Environment Protection",41010,"Environmental policy and administrative management",8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",O,"Public administration and defence; compulsory social security",41100,,,41116,"United Nations Environment Programme","United Nations Environment Programme (UNEP)",D02,"Other technical co-operation",2100,"Direct provider spending",,,,,1,1,11.36081258,11.36081258,11.36081258,11.36081258,0,0,0,0,0,,,,,TOSSD
2023,807,UNEP,"Other Support to UNEP POW","UNEP - VC-POW",2023000493,434,Chile,"South America","UNEP POW Voluntary Contributions","Technical Cooperation Trust Fund for UNEP's Implementation of the Multilateral Fund Activities.",,9;8;7;6;5;4;3;2;10;1,,,410,"General Environment Protection",41030,Biodiversity,8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",O,"Public administration and defence; compulsory social security",41100,,,41116,"United Nations Environment Programme","United Nations Environment Programme (UNEP)",D02,"Other technical co-operation",2100,"Direct provider spending",,,,,1,1,11.42925121,11.42925121,11.42925121,11.42925121,0,0,0,0,0,,,,,TOSSD
2023,807,UNEP,"Other Support to UNEP POW","UNEP - VC-POW",2023000493,434,Chile,"South America","UNEP POW Voluntary Contributions","Technical Cooperation Trust Fund for UNEP's Implementation of the Multilateral Fund Activities.",,9;8;7;6;5;4;3;2;10;1,,,410,"General Environment Protection",41040,"Site preservation",8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",O,"Public administration and defence; compulsory social security",41100,,,41116,"United Nations Environment Programme","United Nations Environment Programme (UNEP)",D02,"Other technical co-operation",2100,"Direct provider spending",,,,,1,1,11.42925121,11.42925121,11.42925121,11.42925121,0,0,0,0,0,,,,,TOSSD
2023,807,UNEP,"Other Support to UNEP POW","UNEP - VC-POW",2023000493,434,Chile,"South America","UNEP POW Voluntary Contributions","Technical Cooperation Trust Fund for UNEP's Implementation of the Multilateral Fund Activities.",,9;8;7;6;5;4;3;2;10;1,,,410,"General Environment Protection",41082,"Environmental research",7210,"Research and experimental development on natural sciences and engineering",M,"Professional, scientific and technical activities",41100,,,41116,"United Nations Environment Programme","United Nations Environment Programme (UNEP)",D02,"Other technical co-operation",2100,"Direct provider spending",,,,,1,1,11.42925121,11.42925121,11.42925121,11.42925121,0,0,0,0,0,,,,,TOSSD
2023,807,UNEP,"Other Support to UNEP POW","UNEP - VC-POW",2023000493,434,Chile,"South America","UNEP POW Voluntary Contributions","Technical Cooperation Trust Fund for UNEP's Implementation of the Multilateral Fund Activities.",,9;8;7;6;5;4;3;2;10;1,,,410,"General Environment Protection",41081,"Environmental education/training",8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",O,"Public administration and defence; compulsory social security",41100,,,41116,"United Nations Environment Programme","United Nations Environment Programme (UNEP)",D02,"Other technical co-operation",2100,"Direct provider spending",,,,,1,1,11.42925121,11.42925121,11.42925121,11.42925121,0,0,0,0,0,,,,,TOSSD
2023,807,UNEP,"Other Support to UNEP POW","UNEP - VC-POW",2023000490,434,Chile,"South America","UNEP POW Voluntary Contributions","Technical Cooperation Trust Fund for the Implementation of the Framework Agreement between UNEP and the Government of Norway (Financed by the Government of Norway).",,9;8;7;6;5;4;3;2;10;1,,,410,"General Environment Protection",41010,"Environmental policy and administrative management",8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",O,"Public administration and defence; compulsory social security",41100,,,41116,"United Nations Environment Programme","United Nations Environment Programme (UNEP)",D02,"Other technical co-operation",2100,"Direct provider spending",,,,,1,1,0.49468,0.49468,0.49468,0.49468,0,0,0,0,0,,,,,TOSSD
2023,807,UNEP,"Other Support to UNEP POW","UNEP - VC-POW",2023000490,434,Chile,"South America","UNEP POW Voluntary Contributions","Technical Cooperation Trust Fund for the Implementation of the Framework Agreement between UNEP and the Government of Norway (Financed by the Government of Norway).",,9;8;7;6;5;4;3;2;10;1,,,410,"General Environment Protection",41082,"Environmental research",7210,"Research and experimental development on natural sciences and engineering",M,"Professional, scientific and technical activities",41100,,,41116,"United Nations Environment Programme","United Nations Environment Programme (UNEP)",D02,"Other technical co-operation",2100,"Direct provider spending",,,,,1,1,0.49766,0.49766,0.49766,0.49766,0,0,0,0,0,,,,,TOSSD
2023,807,UNEP,"Other Support to UNEP POW","UNEP - VC-POW",2023000490,434,Chile,"South America","UNEP POW Voluntary Contributions","Technical Cooperation Trust Fund for the Implementation of the Framework Agreement between UNEP and the Government of Norway (Financed by the Government of Norway).",,9;8;7;6;5;4;3;2;10;1,,,410,"General Environment Protection",41040,"Site preservation",8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",O,"Public administration and defence; compulsory social security",41100,,,41116,"United Nations Environment Programme","United Nations Environment Programme (UNEP)",D02,"Other technical co-operation",2100,"Direct provider spending",,,,,1,1,0.49766,0.49766,0.49766,0.49766,0,0,0,0,0,,,,,TOSSD
2023,807,UNEP,"Other Support to UNEP POW","UNEP - VC-POW",2023000490,434,Chile,"South America","UNEP POW Voluntary Contributions","Technical Cooperation Trust Fund for the Implementation of the Framework Agreement between UNEP and the Government of Norway (Financed by the Government of Norway).",,9;8;7;6;5;4;3;2;10;1,,,410,"General Environment Protection",41020,"Biosphere protection",8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",O,"Public administration and defence; compulsory social security",41100,,,41116,"United Nations Environment Programme","United Nations Environment Programme (UNEP)",D02,"Other technical co-operation",2100,"Direct provider spending",,,,,1,1,0.49468,0.49468,0.49468,0.49468,0,0,0,0,0,,,,,TOSSD
2023,807,UNEP,"Other Support to UNEP POW","UNEP - VC-POW",2023000490,434,Chile,"South America","UNEP POW Voluntary Contributions","Technical Cooperation Trust Fund for the Implementation of the Framework Agreement between UNEP and the Government of Norway (Financed by the Government of Norway).",,9;8;7;6;5;4;3;2;10;1,,,410,"General Environment Protection",41030,Biodiversity,8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",O,"Public administration and defence; compulsory social security",41100,,,41116,"United Nations Environment Programme","United Nations Environment Programme (UNEP)",D02,"Other technical co-operation",2100,"Direct provider spending",,,,,1,1,0.49766,0.49766,0.49766,0.49766,0,0,0,0,0,,,,,TOSSD
2023,807,UNEP,"Other Support to UNEP POW","UNEP - VC-POW",2023000490,434,Chile,"South America","UNEP POW Voluntary Contributions","Technical Cooperation Trust Fund for the Implementation of the Framework Agreement between UNEP and the Government of Norway (Financed by the Government of Norway).",,9;8;7;6;5;4;3;2;10;1,,,410,"General Environment Protection",41081,"Environmental education/training",8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",O,"Public administration and defence; compulsory social security",41100,,,41116,"United Nations Environment Programme","United Nations Environment Programme (UNEP)",D02,"Other technical co-operation",2100,"Direct provider spending",,,,,1,1,0.49766,0.49766,0.49766,0.49766,0,0,0,0,0,,,,,TOSSD
2023,807,UNEP,"Other Support to UNEP POW","UNEP - VC-POW",2023000489,434,Chile,"South America","UNEP POW Voluntary Contributions","Special Trust Fund of the Minamata Convention on Mercury to enable support for capacity-building and technical assistance activities of the Secretariat in accordance with Article 14",,9;8;7;6;5;4;3;2;10;1,,,410,"General Environment Protection",41020,"Biosphere protection",8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",O,"Public administration and defence; compulsory social security",41100,,,41116,"United Nations Environment Programme","United Nations Environment Programme (UNEP)",D02,"Other technical co-operation",2100,"Direct provider spending",,,,,1,1,5.0459269,5.0459269,5.0459269,5.0459269,0,0,0,0,0,,,,,TOSSD
2023,807,UNEP,"Other Support to UNEP POW","UNEP - VC-POW",2023000489,434,Chile,"South America","UNEP POW Voluntary Contributions","Special Trust Fund of the Minamata Convention on Mercury to enable support for capacity-building and technical assistance activities of the Secretariat in accordance with Article 14",,9;8;7;6;5;4;3;2;10;1,,,410,"General Environment Protection",41010,"Environmental policy and administrative management",8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",O,"Public administration and defence; compulsory social security",41100,,,41116,"United Nations Environment Programme","United Nations Environment Programme (UNEP)",D02,"Other technical co-operation",2100,"Direct provider spending",,,,,1,1,5.0459269,5.0459269,5.0459269,5.0459269,0,0,0,0,0,,,,,TOSSD
